FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
ElvisPresley_SuspiciousMinds_1969	91	Suspicious Minds	Elvis Presley	1969	FALSE	FALSE	https://www.youtube.com/watch?v=3kgM5qGFd6o
GunsNRoses_SweetChildOMine_1987	196	Sweet Child O' Mine	Guns N' Roses	1987	TRUE	TRUE	https://www.youtube.com/watch?v=1w7OgIMMRc4
TheRollingStones_SympathyForTheDevil_1968	32	Sympathy for the Devil	The Rolling Stones	1968	TRUE	TRUE	https://www.youtube.com/watch?v=Jwtyn-L-2gQ
AlGreen_TakeMeToTheRiver_1974	117	Take Me to the River	Al Green	1974	TRUE	TRUE	https://www.youtube.com/watch?v=9FBUgdhxe9M
BobDylan_TangledUpInBlue_1975	68	Tangled Up in Blue	Bob Dylan	1975	TRUE	TRUE	https://www.youtube.com/watch?v=YwSZvHqf9qM
EricClapton_TearsInHeaven_1992	353	Tears in Heaven	Eric Clapton	1992	TRUE	TRUE	https://www.youtube.com/watch?v=JxPj3GAYYZ0
BuddyHolly_ThatllBeTheDay_1957	39	That'll Be the Day	Buddy Holly	1957	TRUE	FALSE	https://www.youtube.com/watch?v=eq9FCBatl3A
ElvisPresley_ThatsAllRight_1954	112	That's All Right	Elvis Presley	1954	FALSE	FALSE	https://www.youtube.com/watch?v=NmopYuF4BzY
SimonAndGarfunkel_TheBoxer_1969	105	The Boxer	Simon and Garfunkel	1969	FALSE	FALSE	https://www.youtube.com/watch?v=Bb3TyhlhriY
GrandmasterFlashAndTheFuriousFive_TheMessage_1982	51	The Message	Grandmaster Flash & the Furious Five	1982	TRUE	FALSE	https://www.youtube.com/watch?v=PobrSpMwKk4
